Model	Scenario	Unit	2020	2030	2040	2050
POLES AMPERE	AMPERE2-450-LimSW-HST	US$2005/t CO2	14.475	17.002	782.893	1388.234
POLES AMPERE	AMPERE2-450-LimSW-LST	US$2005/t CO2	24.427	43.401	693.764	1129.402
POLES AMPERE	AMPERE2-450-LimSW-OPT	US$2005/t CO2	13.834	187.950	546.875	801.150
POLES AMPERE	AMPERE2-450-LowEI-HST	US$2005/t CO2	5.563	0.007	472.500	836.000
POLES AMPERE	AMPERE2-450-LowEI-LST	US$2005/t CO2	15.785	17.783	426.911	636.109
POLES AMPERE	AMPERE2-450-LowEI-OPT	US$2005/t CO2	5.148	122.500	360.938	455.700
POLES AMPERE	AMPERE2-450-NucOff-HST	US$2005/t CO2	17.697	20.801	607.500	1359.360
POLES AMPERE	AMPERE2-450-NucOff-LST	US$2005/t CO2	28.170	50.112	620.941	1076.275
POLES AMPERE	AMPERE2-450-NucOff-OPT	US$2005/t CO2	13.352	199.500	546.875	749.700
POLES EMF27	EMF27-450-Conv	US$2005/t CO2	50.000	160.000	800.000	2000.000
POLES EMF27	EMF27-450-EERE	US$2005/t CO2	90.000	600.000	1500.000	3250.000
POLES EMF27	EMF27-450-FullTech	US$2005/t CO2	40.000	175.000	450.000	700.000
POLES EMF27	EMF27-450-LimBio	US$2005/t CO2	50.000	160.000	750.000	1600.000
POLES EMF27	EMF27-450-LimSW	US$2005/t CO2	45.000	190.000	450.000	700.000
POLES EMF27	EMF27-450-LowEI	US$2005/t CO2	35.000	125.000	300.000	450.000
POLES EMF27	EMF27-450-NoCCS	US$2005/t CO2	90.000	600.000	1500.000	3250.000
POLES EMF27	EMF27-450-NucOff	US$2005/t CO2	45.000	200.000	500.000	700.000
REMIND 1.1	450ppm	US$2005/t CO2	7.134	14.908	49.136	63.791
REMIND 1.2	450CO2-IC+CHN+IND	US$2005/t CO2	13.279	27.015	54.767	110.906
REMIND 1.2	450CO2-IConly	US$2005/t CO2	17.186	35.066	71.213	132.857
REMIND 1.2	450CO2-delay2020	US$2005/t CO2	92.277	190.509	388.724	256.793
REMIND 1.2	450CO2-fixBIO	US$2005/t CO2	19.284	39.073	79.006	159.256
REMIND 1.2	450CO2-fixNUC	US$2005/t CO2	16.929	34.555	70.339	112.427
REMIND 1.2	450CO2-fixRET	US$2005/t CO2	27.890	56.352	113.723	228.327
REMIND 1.2	450CO2-noCCS	US$2005/t CO2	17.134	34.789	70.366	141.903
REMIND 1.2	450CO2-noCCSfixNUC	US$2005/t CO2	18.798	38.090	76.940	154.937
REMIND 1.2	450CO2nte-DEF	US$2005/t CO2	15.870	32.432	66.020	103.930
REMIND 1.2	450CO2os-DEF	US$2005/t CO2	11.047	22.448	45.420	91.803
